,likes,replies,text,timestamp,user
35,1,0,#tizibika pic.twitter.com/Ka9M6AZlw2,2018-01-30 4:59:37,Dollmulenga
36,0,0,Don't miss the drama in #Tizibika on Zambezi magic channel 160. On the 8th of February at 22:00,2018-01-29 17:16:06,Dollmulenga
37,10,0,"Learn all about slay queens,8th February,22:00 on #ZambeziMagic Dstv channel 160.. #Tizibika #slayqueening101pic.twitter.com/6c7nFRoDFI",2018-01-29 13:28:29,Ericmuleproduct
38,13,0,"#tizibika I'm in love 
Zambian productions really making me proud.",2018-02-14 22:41:18,Talu_starzz
39,2,1,We going places.  #Tizibika #eddieTheRapper,2018-02-14 5:56:20,wrsikabuli
40,6,0,...S/O to @arushapot for directing #Tizibika !! Another #Zimandola doing great things!,2018-02-13 22:27:26,kryticismusic
41,1,0,#Tizibika something giving me another reason to be glued to Zambezi magic.,2018-02-13 20:28:19,khristine_phiri
42,0,1,Just watching The First Episode Of #Tizibika ,2018-02-13 20:23:54,TongaPrince
43,0,0,"Shes right, rich people dont go to salis, they get people like me to go for them ""vintage"" lovers. #Tizibika",2018-02-13 20:13:27,Yoko3485
44,2,0,"#Tizibika  Slay queens, bragging but you just being kept ",2018-02-13 20:11:59,KeithMpuya
45,1,1,Why are they showing a repeat of #Tizibika ? Thought today was episode 2?,2018-02-13 20:05:43,HoneyJewel9
46,0,0,#Tizibika ,2018-02-13 20:02:25,Im_Ms_Waps
47,18,2,"What would you be doing this Thursday night at 22:00 CAT? #ThandieTizibika and #WeziTizibika would love to hang out with you.
So, don't leave the ladies waiting. You know it's time for #Tizibika and you know the channel.
#ZambeziMagic",2018-02-13 14:55:48,zambezimagictv
48,17,2,"I really had fun playing 'Eddie the rapper 'on #Tizibika ,I believe more big things are yet to come this year,all I ask for is patience ,big things yet to come ",2018-02-13 13:21:43,Mtrain187
49,0,1,How about I watch it on znbc explain when you watch #tizibika on nick jr,2018-02-12 21:55:37,SlimPandaBear
50,3,0,#Tizibika https://twitter.com/PRGirlMedia/status/963073020255457280 …,2018-02-12 18:19:19,MaceWimbu
51,3,0,Listening to @jeSuis_Amy & @KatongoChiluba on hot fm spreading good vibes #Tizibika,2018-02-12 6:13:26,Komana_MN
52,30,0,Such a pleasure working with @KatongoChiluba on #Tizibika #ZambeziMagic  ... she made my job easy #makeup #mua #muaZambiapic.twitter.com/u0P7fk7a8j,2018-02-12 5:47:16,kathlyn_47
