,likes,replies,retweets,text,timestamp,user
59,2,0,0,Been working on a project for #zambezimagic and the D-day is near!!!..am excited #tizibika #aftica #zambia... https://fb.me/1EhlsZEzc ,2018-01-20 14:59:35,Ericmuleproduct
60,1,0,2,#Tizibika pic.twitter.com/Gz8JOk9Xkg,2018-01-24 22:01:32,tozy_b
61,4,0,1,Counting down! #Tizibika https://twitter.com/KatongoChiluba/status/955376670374023168 …,2018-01-22 13:00:48,Nobutu1
62,1,0,1,#Tizibika  wezi and thandi you girls are funny people this is a must watch,2018-02-11 18:20:12,Dollmulenga
63,3,1,1," I was watching #Tizibika last Thursday night, chinanibaba i couldn't tweet about it i had no data",2018-02-11 17:50:32,Siadenda3
64,3,0,0,"Incase you missed it,go and catch up.. #Tizibika #ZambeziMagicpic.twitter.com/rRtk4b6S6R",2018-02-11 11:52:11,Ericmuleproduct
65,0,0,0,Awe ise #Tizibika https://fb.me/3AJCsztc3 ,2018-02-11 9:25:36,djloso21
66,2,0,0,#Tizibika imwe Wezi has finished me ,2018-02-10 20:21:12,Muddy_Purple
67,0,1,0,Lol the one being talked about in #tizibika,2018-02-10 17:55:20,kristina_miti
68,1,0,0,I have a full clip. #tizibika,2018-02-10 17:08:59,Ericmuleproduct
69,1,2,0,"I have the link to the sextape,follow me I will share #Tizibika",2018-02-10 17:01:42,Ericmuleproduct
70,10,2,1,"#tizibika was awesome 
Thandie doesn’t talk much though 
Also because it’s a reality show,how haven’t we seen or heard about the sex tape?",2018-02-10 16:19:58,kristina_miti
71,0,0,0,@Tim_Rapper fam did you watch the  #Tizibika premier?,2018-02-10 16:14:42,Mister_Entitled
72,1,1,0,When is the next episode of #Tizibika ????,2018-02-10 15:54:41,Roxy_Hrt
73,0,0,0,#Tizibika,2018-02-10 14:15:40,Situmbeko11
74,5,0,2,#BBNaija meanwhile am thankful and grateful Cee-C is Nigerian! Zambia would have fixed her attitude before she even came to the house! We don't do satanic attitudes abeg! #Tizibika,2018-02-10 12:28:02,ThokoMaryAnne
75,3,0,1,#tizibika  Zambian Masterpiece,2018-02-10 7:44:11,PRINCE_MBOSHYA3
76,0,0,0,Woooow you did? That was awesome #Tizibika https://twitter.com/arushapot/status/961628645939871747 …,2018-02-10 4:47:46,LuanoBwalya
77,17,2,3,"Finally caught up on #Tizibika!

Yassss 
What a clever concept. Witty writing and engaging characters.",2018-02-10 4:45:06,missbwalya
78,0,0,0,"It shows on Zambezi Magic, every thursday at 22... and if you miss that, you can catch it on friday at 21.30 #Tizibika",2018-02-09 21:29:08,MondeSepo
79,4,0,2, Lol. Where do i start from. Ok. In the comedy series #tizibika the storyline is that a sex video was posted and went viral on twitter. The 2 handles I @ are good and hyping. So it made sense that they're the ones who are likely to make it trend.,2018-02-09 20:55:34,Chaingaz
80,1,0,0,Awesome great job ladies #Tizibika,2018-02-09 20:53:33,ChintuViola
81,20,2,1,When you hide the remote from everyone so you can catch #Tizibika  but Mvula ya yamba  pic.twitter.com/Mqit8vClVO,2018-02-09 20:42:41,SlimPandaBear
82,14,2,6,"Just been catching up with #tizibika..definitely setting a reminder for the next episode!yanipanga mweh,hilarious stuff ",2018-02-09 20:24:56,the_xcheqeur
83,6,1,3,@KatongoChiluba  congrats #Tizibika is ,2018-02-09 20:19:13,TheeAjay
84,0,1,0,Is #tizibika on Catch up ai ?,2018-02-09 20:04:20,CChuwi1
85,2,0,0,"Even @marianepembe was hooked,catch #tizibika every Thursday on #dstv #channel160 https://fb.me/3U7NRMyfK ",2018-02-09 20:01:28,Ericmuleproduct
86,4,0,2,"#Tizibika Not bad, just watched the repeat. Awesome stuff",2018-02-09 20:00:39,PerisMwenya
87,3,0,1,"Guys #Tizibika is hilarious.  
There's girls that actually behave like this.",2018-02-09 20:00:10,MwachiElWeirdo
88,5,0,2,Lol I loved it! Bemba is my jam #Tizibika,2018-02-09 19:59:18,Nalukui_peach87
89,3,2,3,Her video clip has gone viral on twitter. Obviously it's courtesy of @Peter_Kays and @Curate_Zed #Tizibika.,2018-02-09 19:57:39,Chaingaz
90,7,0,3,This show is literally everything #tizibika,2018-02-09 19:56:29,Novel_Cee
91,12,1,6,Catching up on this #Tizibika show... who are these girls?? I absolutely love them please!!! This show!! I love it!! ,2018-02-09 19:55:45,Kassy90
92,5,0,1,Just watching #Tizibika now  Zambian shows are booming ,2018-02-09 19:55:26,McD_101
93,6,0,2,This show is actually pretty good #Tizibika,2018-02-09 19:54:37,nyembe101
94,10,0,3,Even @MariaNepembe was hooked.. #Tizibika pic.twitter.com/AjzUIoBBSy,2018-02-09 19:51:08,Ericmuleproduct
95,4,0,0,"#Tizibika is funny consistency please.

",2018-02-09 19:50:43,Symo_X_2pulZ
96,6,0,3,#Tizibika is an amazing ,2018-02-09 19:49:57,MU54M4
97,3,0,1,#tizibika ,2018-02-09 19:47:28,Novel_Cee
98,6,0,4,#tizibika may you live long ,2018-02-09 19:46:46,mulengachibunda
99,3,2,1,@Nalozi @tutusaysso you need to check out #Tizibika. Awe aka kena kasuma. ,2018-02-09 19:46:37,mitch_hamalwa
100,6,0,4,loving the confidence these two ladies have on #tizibika ,2018-02-09 19:46:30,SangaTembo
101,0,0,0,After so much hype I'm here trying to watch this #Tizibika ... ,2018-02-09 19:46:21,WisemanSoko
102,5,0,2,#tizibika relating pa saliz level. I love this. Na uniform yaba St. Anne! ,2018-02-09 19:46:01,mulengachibunda
103,4,0,3,This #Tizibika show is on point. Well done @arushapot @Mister_Entitled,2018-02-09 19:45:44,mitch_hamalwa
104,4,0,4,"I was sad I missed #Tizibika.... 
I'm so happy I've caught it.  These ladies are priceless.  Love it already. 
And I have new love for Amanda aka Wezi lol yaba...",2018-02-09 19:44:12,Lud0freshe
105,6,1,4,@Mtrain187 I see you #tizibika,2018-02-09 19:43:44,MattyShawtie
106,8,0,4,@zambezimagictv Please #Tizibika should have no commercials like bwangu bwangu please tutambeko quality TV..     kweena,2018-02-09 19:43:00,Wolf92327
107,1,1,1,I know that feel. Same applies to #tizibika https://twitter.com/Luyandoo_/status/962042350255013890 …,2018-02-09 19:40:38,Frazer_Mtine
108,1,1,0,So some slay queens even have stable jobs? Slaying is a culture.  #Tizibika.,2018-02-09 19:39:48,Chaingaz
109,2,0,2,Can we have it everyday? It's been eight minutes and am sold. #Tizibika,2018-02-09 19:39:21,joyfullyfrances
110,0,0,0,Same feel when I watched #tizibika https://twitter.com/katakala/status/962041905021440000 …,2018-02-09 19:38:14,Frazer_Mtine
111,2,0,1,#Tizibika is lit,2018-02-09 19:37:53,mulengachibunda
112,3,0,1,Wezi is special #Tizibika,2018-02-09 19:36:53,linahdaizy
113,3,0,1,#Tizibika winning on Zambezi magic,2018-02-09 19:36:14,Fresh_Isthename
114,6,0,3,#tizibika be on another level. It's looks ...something fresh!,2018-02-09 19:35:15,mulengachibunda
115,5,1,2,"Tutambeko #Tizibika nomba, I love it  these girls are precious.",2018-02-09 19:34:24,joyfullyfrances
116,4,0,1,By the way in case you missed it last night #Tizibika is on now,2018-02-09 19:31:38,luchi7
117,0,0,0,"@zambezimagictv bring the good, the bad and the ugly. What the banana is #Vina  please next to #Tizibika",2018-02-09 19:30:34,djloso21
118,0,0,0,"patiently waiting to watch #Tizibika, it had better be worth it.",2018-02-09 19:30:27,mulengachibunda
119,6,1,4,Guys sorry #Tizibika repeat is actually on at 21:30 on @zambezimagictv Tonight.,2018-02-09 18:46:58,arushapot
120,10,0,4,"ICYMI: Catch the repeat of Zambia's newest mock-reality show #Tizibika this Friday at 21:30 CAT; and witness #WeziTizibika's attempt at fame.
#ZambeziMagichttps://cards.twitter.com/cards/18ce53zjjs9/5bo75 …",2018-02-09 14:19:29,zambezimagictv
121,0,0,0,Am so loving this #tizibika,2018-02-09 10:38:06,NatashaNana8
122,8,0,2,My TL filled with all these #Zuba #tizibika and #Fever tweets and I can’t relate coz dololo dstv. pic.twitter.com/eUUHpqXzh4,2018-02-08 22:00:34,BwalyaYamba
123,6,0,3,#tizibika I love these girls,2018-02-08 21:54:28,joannaakuzike
124,6,1,3,Good things are meant to be enjoyed and talked about.....#Tizibika imwe,2018-02-08 21:46:08,Zambianated_OmA
125,9,2,2,I was dying the whole way! Im so proud of you @KatongoChiluba and Wezi! This is just great!!! Thank you @zambezimagictv for #tizibika,2018-02-08 21:31:19,itsEstherChungu
126,10,0,4,"Make some noise for yourself if you retweeted, liked or used the hashtag #Tizibika to send the show trending at no.1 #Zambia Tune in next week same time for the #SlayQueenChronicles",2018-02-08 21:29:52,ZambiazHarshTag
127,9,0,5,"#Tizibika has the versatility of lumanda, yo salula yo boiler ne yaku sashila,,, just can't get enough... No TV but hey I have a friend who has one.. #glued...",2018-02-08 21:29:20,Wolf92327
128,11,0,4,@KatongoChiluba nice #TizibakaSexTape  ise #Tizibika pic.twitter.com/79XWcyMm1R,2018-02-08 21:26:34,djloso21
129,9,0,2,"Zed twittter is trending with #zuba nad #tizibika...this is so wakandan,,,,,,,yes!",2018-02-08 21:23:13,Nizaismyname
130,6,0,3,"This show is great. The acting is on point too. Well done 

#Tizibika",2018-02-08 21:19:18,am_hmbx
131,6,2,3,@tozy_b @arushapot Congrat's on #Tizibika i haven't seen it yet but the feedback has been astounding well deserved!,2018-02-08 21:14:50,Samm_Sid
132,6,0,2,#tizibika time well spent,2018-02-08 21:13:44,bwalyaandrew
133,4,0,2,#tizibika  pilot episode “so far so good”,2018-02-08 21:11:25,Nizaismyname
134,11,1,6,Looking at all the tweets about #tizibika and all can see is how cool it is to run a sentiment analysis of them and plot a bar chart  comparing  negative & positive reviews. With the hope to build a Machine Learning model that predict which shows might be popular with ZedTwitter pic.twitter.com/Om8TTr4bdH,2018-02-08 21:06:49,mbuyu_
135,4,0,2,#Tizibika ,2018-02-08 21:06:20,Lady_Beast18
136,41,1,16,With ZNBCTv no longer having the monopoly on artistic expression. the film industry in Zambia is finally growing and flourishing.#Tizibika #Zuba #fever #dorika etc,2018-02-08 21:04:44,TiganaChileshe
137,3,0,1,Awe iliko. . We appreciate it as well that's how you grow #Tizibika,2018-02-08 21:04:39,arushapot
138,1,1,1,@tozy_b what time is the repeat of #Tizibika ?,2018-02-08 21:04:33,KasaziLungu
139,3,1,2,No negative feedback... The show is too  #Tizibika eh pulogulam,2018-02-08 21:00:03,ZambiazHarshTag
140,123,2,24,"Everyone who watched, twitted thank you soo much. My show is trending on twitter aaaahhhhhhhh

#tizibika
",2018-02-08 20:59:34,tozy_b
141,11,0,5,"#Tizibika i love our two leading ladies @KatongoChiluba and @jeSuis_Amy 
For bookings and inquiries, DM me ",2018-02-08 20:58:11,Mister_Entitled
142,12,0,3,#Tizibika #Zuba... Very Impressive..#Respect,2018-02-08 20:56:52,Aaron_Sankwana
143,21,0,8,I think Zambezi Magic was trying to compensate for date my family and brought #Tizibika . We forgive you. Well done @tozy_b  #ZambeziMagic has given me the best TV week experience in my Zambian TV watching history. ,2018-02-08 20:54:58,isala_lu
144,6,0,3,"Twalishiba ati mwalikaba ba #Zambia! Please, no copying and pasting the #Tizibika situation please.",2018-02-08 20:54:17,ZambiazHarshTag
145,13,1,8,"@tozy_b is the heart and soul of #Tizibika 
These are the hidden talents we have in Zambia ",2018-02-08 20:54:15,Mister_Entitled
146,3,1,3,#Tizibika pic.twitter.com/0hEX0MmPDS,2018-02-08 20:52:23,DarealysTawanda
147,10,1,3,#Tizibika i love the show so proud of you chiluba,2018-02-08 20:51:48,RacheaRm
148,5,0,2,Well done to you all. Not watched it but followed through the Twitter reception. Sounds like #Tizibika is off to a brilliant start. https://twitter.com/tozy_b/status/961703023381745664 …,2018-02-08 20:51:39,AfriWoman
149,9,1,1,We appreciate both the positive and the negative feedback  #Tizibika,2018-02-08 20:48:20,arushapot
