2018-02-16 11:10:51,b'RT @Novel_Cee: Noooooooo!! Someone petition for #tizibika to be extended to an hour\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
2018-02-16 10:55:27,b'RT @PetersenZambia: #tizibika is some another level reasoning for TV. I love such minds'
2018-02-16 10:26:17,"b""RT @tozy_b: We're back tonight\n Catch us tonight at 22hrs on Zambezi Magic channel 160.\n\n#tizibika https://t.co/Iw5hZG8MSP"""
2018-02-16 10:24:51,b'#tizibika is some another level reasoning for TV. I love such minds'
2018-02-16 10:20:50,"b""RT @tozy_b: We're back tonight\n Catch us tonight at 22hrs on Zambezi Magic channel 160.\n\n#tizibika https://t.co/Iw5hZG8MSP"""
2018-02-16 10:20:37,b'@jeSuis_Amy  my namz booboo.... Lol this fireball is exactly that! Fire!!!! Love  working with you.... and taking s\xe2\x80\xa6 https://t.co/n83BDe2zIb'
2018-02-16 09:39:36,b'RT @PetersenZambia: #tizibika now this is Zambian hahahahahaha I like'
2018-02-16 09:36:12,b'RT @kristina_miti: I know of so many Lusaka girls that have stolen eachothers \xe2\x80\x9cBa Charles\xe2\x80\x9d \nIt\xe2\x80\x99s a shame \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#tizibika'
2018-02-16 08:46:56,b'RT @ngoni_princesss: @Mister_Entitled Yeah... the Sosalas irritated me the most. Anyway when does #Tizibika show? And on what channel?'
2018-02-16 08:26:45,b'RT @iistargirl: Vina is rubbish. Can Zambezi magic please cancel it and make #Tizibika longer ? https://t.co/PXtv6tktY9'
2018-02-16 08:20:07,b'@Mister_Entitled Yeah... the Sosalas irritated me the most. Anyway when does #Tizibika show? And on what channel?'
2018-02-16 08:04:48,b'RT @ProudlyZambian: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Charles. I\xe2\x80\x99m done #Tizibika'
2018-02-16 07:59:32,b'RT @ThandiZV: Time for #tizibika.. love these girls. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
2018-02-16 07:59:16,b'RT @ProudlyZambian: It\xe2\x80\x99s time for #Tizibika'
2018-02-16 07:53:02,b'RT @PetersenZambia: What is this show now? Bring back #tizibika'
