,likes,replies,retweets,text,timestamp,user
69,10,0,3,Even @MariaNepembe was hooked.. #Tizibika pic.twitter.com/AjzUIoBBSy,2018-02-09 19:51:08,Ericmuleproduct
70,4,0,0,"#Tizibika is funny consistency please.

",2018-02-09 19:50:43,Symo_X_2pulZ
71,6,0,3,#Tizibika is an amazing ,2018-02-09 19:49:57,MU54M4
72,3,0,1,#tizibika ,2018-02-09 19:47:28,Novel_Cee
73,6,0,4,#tizibika may you live long ,2018-02-09 19:46:46,mulengachibunda
74,3,2,1,@Nalozi @tutusaysso you need to check out #Tizibika. Awe aka kena kasuma. ,2018-02-09 19:46:37,mitch_hamalwa
75,6,0,4,loving the confidence these two ladies have on #tizibika ,2018-02-09 19:46:30,SangaTembo
76,0,0,0,After so much hype I'm here trying to watch this #Tizibika ... ,2018-02-09 19:46:21,WisemanSoko
77,5,0,2,#tizibika relating pa saliz level. I love this. Na uniform yaba St. Anne! ,2018-02-09 19:46:01,mulengachibunda
78,4,0,3,This #Tizibika show is on point. Well done @arushapot @Mister_Entitled,2018-02-09 19:45:44,mitch_hamalwa
79,4,0,4,"I was sad I missed #Tizibika.... 
I'm so happy I've caught it.  These ladies are priceless.  Love it already. 
And I have new love for Amanda aka Wezi lol yaba...",2018-02-09 19:44:12,Lud0freshe
80,6,1,4,@Mtrain187 I see you #tizibika,2018-02-09 19:43:44,MattyShawtie
81,8,0,4,@zambezimagictv Please #Tizibika should have no commercials like bwangu bwangu please tutambeko quality TV..     kweena,2018-02-09 19:43:00,Wolf92327
82,1,1,1,I know that feel. Same applies to #tizibika https://twitter.com/Luyandoo_/status/962042350255013890 …,2018-02-09 19:40:38,Frazer_Mtine
83,1,1,0,So some slay queens even have stable jobs? Slaying is a culture.  #Tizibika.,2018-02-09 19:39:48,Chaingaz
84,2,0,2,Can we have it everyday? It's been eight minutes and am sold. #Tizibika,2018-02-09 19:39:21,joyfullyfrances
85,0,0,0,Same feel when I watched #tizibika https://twitter.com/katakala/status/962041905021440000 …,2018-02-09 19:38:14,Frazer_Mtine
86,2,0,1,#Tizibika is lit,2018-02-09 19:37:53,mulengachibunda
87,3,0,1,Wezi is special #Tizibika,2018-02-09 19:36:53,linahdaizy
88,3,0,1,#Tizibika winning on Zambezi magic,2018-02-09 19:36:14,Fresh_Isthename
89,6,0,3,#tizibika be on another level. It's looks ...something fresh!,2018-02-09 19:35:15,mulengachibunda
90,5,1,2,"Tutambeko #Tizibika nomba, I love it  these girls are precious.",2018-02-09 19:34:24,joyfullyfrances
91,4,0,1,By the way in case you missed it last night #Tizibika is on now,2018-02-09 19:31:38,luchi7
92,0,0,0,"@zambezimagictv bring the good, the bad and the ugly. What the banana is #Vina  please next to #Tizibika",2018-02-09 19:30:34,djloso21
93,0,0,0,"patiently waiting to watch #Tizibika, it had better be worth it.",2018-02-09 19:30:27,mulengachibunda
94,6,1,4,Guys sorry #Tizibika repeat is actually on at 21:30 on @zambezimagictv Tonight.,2018-02-09 18:46:58,arushapot
